phrase;replacements;message;url
"masterstro";"trump card","stroke of genius";"Using gender neutral language means users will help to break up gender stereotypes";
"mastrabator";"";"Are you kidding! Why would you type this!";
"maternal";"parental","warm","intimate";"Using gender neutral language means users will help to break up gender stereotypes";
"maternity";"parental";"Using gender neutral language means users will help to break up gender stereotypes";
"matrices";"matrixes";"This is the correct format";
"matsah-ball";"matzo-ball";"Use this form, it's better. Trust me.";
"mattress princess";"";"Are you kidding! Why would you type this!";
"mattressprincess";"";"Are you kidding! Why would you type this!";
"matza-ball";"matzo-ball";"Use this form, it's better. Trust me.";
"matzah-ball";"matzo-ball";"Use this form, it's better. Trust me.";
"matzoh-ball";"matzo-ball";"Use this form, it's better. Trust me.";
"maugre";"";"Don't use this word";
"may possibly";"can";"At least you should use the proper form.";
"may";"";"Indirect Word Detected";
"maybe";"";"Indirect Word Detected";
"mayorality";"mayoralty";"At least you should use the proper form.";
"me";"The Team";"First Person Singular Word Detected";
"mealymouthed";"mealy-mouthed";"At least you should use the proper form.";
"mean";"person with symptoms of mental illness";"Describe the behavior or illness without derogatory words.";
"meaningful dialogue";"";"Don't use this word";
"meanspirited";"mean-spirited";"At least you should use the proper form.";
"meant";"";"Don't use this word";
"measels";"measles";"This is the correct spelling";
"meat beatter";"";"Are you kidding! Why would you type this!";
"meatbeatter";"";"Are you kidding! Why would you type this!";
"medicatable";"medicable";"This is the correct spelling";
"medicinal marijuana";"medical marijuana";"At least you should use the proper form.";
"meet together";"meet";"Use this form, it's better. Trust me.";
"meet with each other";"meet";"Use this form, it's better. Trust me.";
"meld together";"meld";"At least you should use the proper form.";
"meliorate";"ameliorate";"At least you should use the proper form.";
"men and girls";"everyone";"This is the correct spelling";
"men and women";"everyone";"Unconcious Bias Detected";
"men of science";"scientists";"Use this form, it's better. Trust me.";
"men";"people","persons","folks";"Using gender neutral language means users will help to break up gender stereotypes";
"menage a trois";"ménage à trois";"It's French";
"mental attitude";"attitude";"At least you should use the proper form.";
"mental case";"malicious","mean","disgusting","incredible","person with symptoms of mental illness","person with symptoms of a mental disorder","person with a mental disorder";"Describe the behavior or illness without derogatory words.";
"mental defective";"person with symptoms of mental illness";"Describe the behavior or illness without derogatory words.";
"mental telepathy";"telepathy";"At least you should use the proper form.";
"mental";"malicious","mean","disgusting","incredible","person with symptoms of mental illness","person with symptoms of a mental disorder","person with a mental disorder";"Describe the behavior or illness without derogatory words.";
"mentally ill";"person with symptoms of mental illness";"Describe the behavior or illness without derogatory words.";
"merge together";"merge";"At least you should use the proper form.";
"merged together";"merged";"At least you should use the proper form.";
"meseems";"";"Don't use this word";
"meshed together";"meshed";"At least you should use the proper form.";
"met";"";"Don't use this word";
"metaphorical";"metaphorically";"At least you should use the proper form.";
"methinks";"";"Don't use this word";
"middleman";"intermediary","go-between";"Using gender neutral language means users will help to break up gender stereotypes";
"middlemen";"intermediaries","go-betweens";"Using gender neutral language means users will help to break up gender stereotypes";
"middlewoman";"intermediary","go-between";"Using gender neutral language means users will help to break up gender stereotypes";
"middlewomen";"intermediaries","go-betweens";"Using gender neutral language means users will help to break up gender stereotypes";
"midget";"person with dwarfism","little person","little people","LP","person of short stature";"Use this form, it's better. Trust me.";
"midwife";"birthing nurse";"Use this form, it's better. Trust me.";
"midwived";"midwifed";"At least you should use the proper form.";
"might";"will";"Weasel Word Detected";
"migraine headache";"migraine";"At least you should use the proper form.";
"milage";"mileage";"This is the correct spelling";
"mildly";"";"Don't use this word";
"mileau";"milieu";"This is the correct spelling";
"milkman";"milk person";"Using gender neutral language means users will help to break up gender stereotypes";
"milkmen";"milk people";"Using gender neutral language means users will help to break up gender stereotypes";
"milktoast";"milquetoast";"This is the correct spelling";
"milkwoman";"milk person";"Using gender neutral language means users will help to break up gender stereotypes";
"milkwomen";"milk people";"Using gender neutral language means users will help to break up gender stereotypes";
"millenia";"millennia";"This is the correct spelling";
"millenium";"millennium";"This is the correct spelling";
"milleniums";"millenniums";"This is the correct spelling";
"millepede";"millipede";"This is the correct spelling";
"millionnaire";"millionaire";"This is the correct spelling";
"mimiced";"mimicked";"This is the correct spelling";
"mimicing";"mimicking";"This is the correct spelling";
"minestrone soup";"minestrone";"At least you should use the proper form.";
"mingle together";"mingle";"At least you should use the proper form.";
"minimalize";"minimize";"At least you should use the proper form.";
"minimalized";"minimized";"At least you should use the proper form.";
"minimalizes";"minimizes";"At least you should use the proper form.";
"minimalizing";"minimizing";"At least you should use the proper form.";
"miniscule";"minuscule";"This is the correct spelling";
"minnows";"shoal";"A group of minnows  is called a  shoal";
"minorities";"underrepresented groups";"Unconcious Bias Detected";
"miracle";"phenomenon";"Emotional Word Detected";
"miraculous";"extraordinary";"Emotional Word Detected";
"mirk";"murk";"At least you should use the proper form.";
"mirky";"murky";"At least you should use the proper form.";
"mirth";"amusement";"Emotional Word Detected";
"mischievious";"mischievous";"This is the correct spelling";
"misdoubt";"doubt";"At least you should use the proper form.";
"misgiving";"apprehension";"Emotional Word Detected";
"mispelling";"misspelling";"This is the correct spelling";
"miss.";"ms.";"Using gender neutral language means users will help to break up gender stereotypes";
"missed the boat on that one";"";"Don't use this word";
"misspelt";"";"Don't use this word";
"mistaked";"mistook";"At least you should use the proper form.";
"mistaken";"";"Don't use this word";
"mix together";"mix";"At least you should use the proper form.";
"mixible";"mixable";"This is the correct spelling";
"moan";"whine","complain","cry";"Use this form, it's better. Trust me.";
"moaning";"whining","complaining","crying";"Use this form, it's better. Trust me.";
"mocasin";"moccasin";"Use this form, it's better. Trust me.";
"mocassin";"moccasin";"Use this form, it's better. Trust me.";
"moccassin";"moccasin";"Use this form, it's better. Trust me.";
"mode of operandi";"modus operandi";"At least you should use the proper form.";
"modern man";"modern civilization","modern people";"Use this form, it's better. Trust me.";
"modern-day";"modern";"At least you should use the proper form.";
"modes of operandi";"modi operandi";"At least you should use the proper form.";
"molest";"";"Are you kidding! Why would you type this!";
"molester";"";"Are you kidding! Why would you type this!";
"molestor";"";"Are you kidding! Why would you type this!";
"mom and pop retail outlet";"mom-and-pop retail outlet";"At least you should use the proper form.";
"mom and pop shop";"mom-and-pop shop";"At least you should use the proper form.";
"moment in the sun";"";"Don't use this word";
